Samples	Myc1	Myc2	Myc3	Myc4	Myc5	Myc6	Myc7	Ras1	Ras2	Ras3	Ras4	Ras5	Ras6	Ras7
Factors	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	MYC+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor	RAS+ tumor
HMDB00112	0.605022	1.306957	0.485389	0.245019	0.651153	0.266026	0.518788	0.10445	0.262415	0.215213	1.126454	0.765209	0.331736	0.332355
HMDB0006248	0.080103	0.080103	0.081471	0.080103	0.080103	0.221497	0.365624	0.080103	0.080103	0.080103	0.080103	0.080103	0.080103	0.080103
HMDB0011737	0.138837	0.176228	0.121553	0.201084	0.120468	0.504472	0.714493	0.393427	0.516693	0.47782	0.355857	0.497588	0.598944	0.388705
HMDB11738	0.154025	0.35682	0.289335	0.3213	0.226419	0.863919	1.136081	0.134236	0.134236	0.134236	0.134236	0.134236	0.134236	0.134236
HMDB11170	1.407943	0.892709	1.088166	1.286215	1.201163	1.435497	1.705893	0.757072	0.80677	0.945619	0.372504	0.372504	0.974724	0.537443
HMDB11171	0.602504	0.89972	0.690301	1.315358	0.587006	1.749739	2.524359	0.854499	0.788349	1.125534	0.636382	0.548022	1.10028	1.113906
HMDB0034367	0.553099	0.396227	0.396227	0.396227	0.396227	0.573809	0.951674	0.396227	0.396227	0.396227	0.396227	0.396227	0.396227	0.396227
HMDB00594	0.541704	1.503516	0.622907	1.460508	0.620058	2.62493	3.747858	1.453256	0.954054	0.370066	0.821076	0.203949	0.230488	0.233895
HMDB0029159	0.705329	0.65264	0.542526	1.033152	0.523775	2.174695	2.561945	0.512332	0.316114	1.203957	0.221103	0.359228	0.966848	1.141814
HMDB0029160	0.190701	0.190701	0.432374	0.740565	0.360248	0.781469	0.960091	0.190701	0.391638	0.190701	0.190701	0.190701	0.5334	0.190701
HMDB0011741	0.787039	1.158594	0.752877	1.357391	0.656272	1.919183	3.76347	0.841406	0.580773	0.319221	0.538996	0.319221	0.319221	0.371343
HMDB11172	0.917829	0.635119	0.603561	0.960961	0.607278	0.669277	1.334723	1.039039	1.142087	1.255744	0.291209	0.435824	1.137708	0.910956
HMDB00625	3.30123	1.596916	1.817652	3.721626	1.137789	1.45735	1.061943	0.23993	0.359276	0.240538	0.301908	0.700642	0.538815	0.356296
HMDB00122	0.674584	0.722941	0.946654	0.849033	0.996986	0.354298	0.253204	0.099899	0.100784	0.443251	0.701466	1.136292	1.003014	0.421765
HMDB01401	3.481755	0.945713	2.003245	4.251399	3.584802	2.438761	1.577919	3.105985	0.57556	2.962012	1.631408	1.164665	1.907239	3.726367
HMDB00127	0.665988	1.172425	0.651684	0.719595	0.588073	0.670327	0.91148	1.294995	1.154359	0.514386	0.779334	0.614244	0.706619	0.507306
HMDB03339	2.696392	2.827014	2.400097	2.289724	2.14302	3.346946	3.45356	0.41891	0.39121	0.773764	0.548438	0.936394	0.945609	1.054391
HMDB00641	0.712801	1.077291	0.624459	0.618389	0.529504	1.017994	1.071636	0.197814	0.32568	0.661957	0.350584	0.898602	0.982006	0.75351
HMDB00661	1.210931	0.381147	0.998174	1.001826	0.645448	0.566779	0.836417	1.123687	1.250741	0.758706	1.00709	0.497382	0.83554	0.417269
HMDB13130	0.205729	1.060256	0.205729	0.205729	0.232892	0.205729	0.245285	0.368742	0.557847	0.287151	0.815089	0.984714	0.434107	0.289686
HMDB03337	0.002795	0.002795	0.002795	0.002795	0.002795	0.002795	0.002795	0.387737	0.724302	0.696303	1.140643	0.909589	1.343214	1.102946
HMDB00125	0.268012	0.308373	0.268012	0.268012	0.268012	0.28468	0.268012	0.643923	1.125432	0.764588	2.55618	0.766621	5.34306	1.060624
HMDB00139	1.001125	1.367546	1.019239	0.935673	0.744297	0.303456	0.523826	0.693222	0.631596	0.973438	0.631034	0.627212	0.564221	0.553305
HMDB00131	0.669896	1.066845	0.993344	0.894846	0.923905	0.907905	1.300576	0.505244	0.555479	0.498255	0.391762	0.440646	0.629411	0.586088
HMDB02520	0.843961	0.587843	1.793754	1.173469	1.752216	1.13267	1.167581	0.815627	0.316288	1.074873	0.353176	0.392217	1.349051	1.294559
HMDB00126	2.391383	0.96905	3.741553	3.626235	3.95073	1.596007	1.538064	1.41122	0.328501	1.293693	0.596083	0.800458	1.739614	2.419909
HMDB00086	0.764896	0.511152	1.211375	1.061627	1.25469	1.051104	0.869231	1.022308	0.475669	1.796602	0.485976	0.591253	2.059203	1.769781
HMDB00123	2.628216	2.68835	2.820312	2.749427	2.423157	3.114863	3.623608	0.45183	0.731105	0.555251	0.572713	0.843644	0.835948	0.740915
HMDB00115	2.057144	0.806482	1.426421	1.394542	0.495914	1.163119	0.731126	0.602164	0.983625	0.904116	0.583144	0.672302	1	0.522032
HMDB0028844	0.514111	1.11739	0.924232	1.018278	1.001879	1.053399	2.158914	0.37099	0.37099	0.37099	0.37099	0.37099	0.461095	0.37099
HMDB00759	0.604138	1.322081	1.821483	1.723692	1.395611	2.650353	3.403735	0.147397	0.255708	0.261182	0.147397	0.346861	1.010553	0.295445
HMDB00721	0.902464	1.029487	0.970513	0.774845	0.77701	1.64348	1.15623	1.185618	1.204522	0.738682	1.635478	0.950454	0.836644	0.950641
HMDB0028854	0.790897	1.096868	1.066583	1.377565	1.056965	1.760296	2.00817	0.231267	0.408304	0.231267	0.231267	0.231267	0.579736	0.231267
HMDB00133	3.422439	0.779405	1.803481	1.80063	2.561028	8.211366	4.057203	0.731919	0.353325	0.732337	0.77826	0.425414	2.070955	0.33712
HMDB01397	1.473246	1.33351	1.125758	1.860519	0.971138	2.407916	2.139509	0.292541	0.305907	0.570832	0.243156	0.177074	1.997613	0.422663
HMDB03466	0.660748	0.905879	0.626268	0.634238	0.527953	0.820697	0.99491	0.8924	1.171213	0.240347	0.43866	0.385761	0.676288	0.357651
HMDB03178	0.118327	0.368091	0.912476	6.128827	0.584674	0.118327	0.118327	21.374191	3.299837	13.16677	5.133687	46.408653	35.184883	50.750561
HMDB00714	0.674134	0.674134	0.842215	0.674134	0.674134	1.071813	0.674134	0.674134	1.109315	0.674134	0.674134	0.674134	1.061755	0.746259
HMDB00177	0.952088	1.485519	1.029533	1.009732	0.832637	1.082638	1.15843	1.158352	1.952987	0.789094	1.373353	0.793623	0.959555	1.097285
HMDB00679	1.429741	1.182336	2.170814	1.873094	2.437681	1.233245	1.356776	1.233123	1.673323	0.792836	2.938522	1.871986	0.798208	0.819652
HMDB00719	0.911054	2.128662	0.813589	0.977827	0.7366	1.582183	2.041627	0.48717	0.624086	0.407516	1.032509	0.705221	0.518834	0.496459
HMDB0062555	1.134489	1.27661	0.824111	1.731217	1.615571	1.829742	1.877141	0.828164	0.985934	0.364767	0.934191	0.726509	0.643492	0.558801
HMDB00965	7.096806	1.033046	3.592102	3.231741	0.509565	2.272338	1.436383	0.224963	0.610658	0.319798	0.966954	0.704653	0.661214	0.764751
HMDB00157	1.315172	1.329294	1.115324	1.120604	0.916138	1.222384	1.308837	0.726063	1.09952	0.768524	0.896291	0.702816	0.753487	0.813859
HMDB02320	0.127674	0.127674	0.127674	0.127674	0.127674	0.127674	0.127674	1.234003	4.198604	0.127674	1.246083	0.127674	0.127674	0.127674
HMDB00671	0.552908	0.552908	0.552908	0.552908	0.552908	0.552908	0.552908	1.361913	0.552908	0.552908	1	0.552908	0.552908	0.552908
HMDB00195	1.140388	0.722556	1.211189	1.284217	1.310309	1.276844	1.161992	0.307332	0.210533	0.490801	0.262396	0.29104	0.645287	0.470958
HMDB00213	0.942035	1.157398	0.834552	1.072259	0.754141	0.974424	1.057964	0.63203	0.645947	0.75474	0.724213	0.928307	0.925636	0.835565
HMDB0003514	0.891219	0.1479	1	1.156283	1.426493	1.221374	1.115207	0.1574	0.077122	0.204879	0.077122	0.077122	1.555125	0.146128
HMDB0000618	0.636873	0.447715	1.037082	1.242639	1.247417	1.28456	1.07797	1.347128	0.154529	0.911558	0.108906	0.202006	2.073962	0.693043
