ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_51_P401304,Ipo11,76582,Mm.132208,mm|13qD2.1,0.81,0,11.084,11.212,11.337,11.186,12.38,12.249,12.319,12.365
A_52_P185568,Wdr76,241627,Mm.293284,mm|2qE5,0.81,0.004,6.478,6.407,6.465,6.309,7.165,7.311,7.322,7.484
A_52_P684579,Nat11,70999,Mm.329605,mm|19qA,0.81,0.007,8.8,8.821,8.605,8.721,9.633,9.516,9.818,9.789
A_52_P59228,Zswim3,67538,Mm.33184,mm|2qH3,0.81,0.008,8.014,7.912,8.072,7.898,9.006,8.743,8.822,9.028
A_52_P595954,Whsc2,24116,Mm.332320,mm|5qB1,0.81,0.02,10.052,9.911,9.765,9.532,10.441,10.44,10.431,10.568
A_51_P308254,Surf2,20931,Mm.389260,mm|2qA3,0.81,0.053,9.827,9.76,9.635,9.896,10.936,10.471,10.984,10.653
A_51_P421984,Timm22,56322,Mm.18803,mm|11qB5,0.81,0.055,11.57,11.406,11.349,11.182,12.758,12.45,12.578,12.664
A_52_P354271,2310057M21Rik,68277,Mm.121122,mm|7qF3,0.8,0.001,8.139,8.061,8.107,8.037,9.203,9.211,9.246,9.435
A_52_P255804,Cbx1,12412,Mm.29055,mm|11qD,0.8,0.002,11.081,10.647,10.889,11.009,11.629,11.486,11.464,11.798
A_51_P327021,Zbtb25,109929,Mm.41880,mm|12qC3,0.8,0.002,8.863,8.951,8.783,8.839,10.332,10.162,10.404,10.367
A_51_P223458,Polr3d,67065,Mm.20420,mm|14qD1,0.8,0.003,9.505,9.478,9.19,9.299,11.049,10.798,10.8,11.023
A_52_P606924,AI461788,231506,Mm.212568,mm|5qE4,0.8,0.003,8.652,8.533,8.705,8.69,9.746,9.397,9.404,9.637
A_51_P300936,Rbbp8,225182,Mm.154275,mm|18qA1,0.8,0.004,10.118,10.027,9.959,10.026,11.257,11.198,11.555,11.434
A_52_P647582,Hsf1,15499,Mm.347444,mm|15qD3,0.8,0.004,10.247,10.033,10.262,10.008,10.975,10.697,10.736,10.819
A_52_P427332,Eya3,14050,Mm.227733,mm|4qD2.3,0.8,0.03,9.113,8.957,9.026,9.062,10.143,9.814,10.005,10.025
A_52_P598300,Gtf2f2,68705,Mm.20415,mm|14qD3,0.8,0.035,9.051,9.134,9.193,9.03,10.107,9.921,10.015,9.989
A_52_P285058,Appbp2,66884,,mm|11qC,0.8,0.036,8.983,8.769,8.878,8.798,9.778,9.39,9.468,9.598
A_52_P161674,Cstf2,108062,Mm.67938,mm|XqE3,0.79,0.005,6.859,6.969,6.93,6.942,7.633,7.698,7.853,7.828
A_52_P544540,BC016423,105203,Mm.221609,mm|13qA1,0.79,0.014,8.613,8.964,9.05,9.041,9.698,9.679,9.757,9.933
A_51_P266847,Rnf126,70294,Mm.422990,mm|10qC1,0.79,0.015,10.176,9.889,10.115,9.982,11.132,10.948,11.102,11.227
A_51_P454196,Sh2d4a,72281,Mm.40974,mm|8qB3.2,0.79,0.031,6.277,6.139,6.196,6.065,7.633,7.099,7.34,7.712
A_51_P214343,Sephs1,109079,Mm.34329,mm|2qA1,0.79,0.044,8.466,8.434,8.175,8.277,9.238,9.048,9.399,9.204
A_51_P172727,5730419I09Rik,74741,Mm.130260,mm|6qG2,0.79,0.066,8.417,8.205,8.21,8.45,9.528,9.321,9.565,9.557
A_51_P450536,1700030K09Rik,72254,Mm.275872,mm|8qB3.3,0.79,0.096,8.731,8.96,8.982,9.02,9.932,9.556,9.535,9.658
A_51_P266143,Adpgk,72141,Mm.22456,mm|9qB,0.78,0.006,9.359,9.316,9.436,9.329,9.959,10.092,10.128,10.363
A_51_P361906,1110014J01Rik,74778,Mm.30056,mm|15qE1,0.78,0.014,10.983,10.836,10.829,10.933,12.367,12.108,12.335,12.277
A_52_P582394,Mrps11,67994,Mm.297033,mm|7qD2,0.78,0.021,10.048,10.365,10.412,10.27,10.87,10.659,11.035,10.964
A_51_P291819,2310033P09Rik,67862,Mm.358708,mm|11qB1.3,0.78,0.025,10.401,9.725,10.231,10.191,11.186,10.906,10.958,11.239
A_52_P600625,Rad23b,19359,Mm.196846,mm|4qB3,0.78,0.026,8.349,8.14,8.169,8.141,9.229,8.918,9.052,8.8
A_51_P277718,Cenpc1,12617,Mm.4649,mm|5qE1,0.78,0.039,7.384,7.281,7.572,7.413,8.401,8.459,8.555,8.621
A_52_P432904,Ddx11,320209,Mm.259605,mm|17qE1.1,0.77,0,6.563,6.7,6.644,6.698,7.313,7.369,7.455,7.512
A_51_P323281,Usp45,77593,Mm.154306,mm|4qA3,0.77,0.007,8.849,8.523,8.719,8.575,9.243,9.277,9.455,9.437
A_52_P252127,Trim37,68729,Mm.17436,mm|11qC,0.77,0.012,9.259,9.298,9.269,9.456,9.723,9.511,9.887,9.852
A_51_P380401,2310051N18Rik,71941,Mm.196576,mm|8qA1.1,0.77,0.015,9.884,9.894,10.272,9.83,10.536,10.421,10.469,10.588
A_51_P276939,Gmip,78816,Mm.324305,mm|8qB3.3,0.77,0.023,7.604,7.492,7.374,7.463,9.153,8.782,9.041,8.934
A_51_P517096,Casp8ap2,26885,Mm.22279,mm|4qA5,0.77,0.033,8.858,8.533,8.625,8.469,9.699,9.253,9.267,9.529
A_51_P212164,1200016B10Rik,66875,Mm.290905,mm|1qG1,0.77,0.034,10.124,10.216,10.399,10.508,10.939,10.705,10.774,10.951
A_51_P238135,Suhw3,208968,Mm.293819,mm|XqA4,0.77,0.045,7.236,7.014,6.884,6.866,8.217,7.639,8.002,7.857
A_52_P65077,2610036F08Rik,628054,Mm.426690,mm|17qA3.2,0.77,0.069,7.58,7.306,7.215,7.203,8.421,8.386,8.397,8.598
A_52_P139248,,NA,,mm|5qA3,0.77,0.085,11.377,11.471,11.538,11.508,12.576,12.369,12.751,12.471
