pathway	NOP2	CHROMATIN_ORGANIZATION
TCGA.ZP.A9CZ.01A.11R.A38B.07	4.92401259	-0.036390165
TCGA.G3.A25U.01A.11R.A16W.07	4.922234451	0.096341562
TCGA.DD.A39V.01A.11R.A213.07	4.908856324	-0.264091741
TCGA.G3.A25V.01A.11R.A16W.07	4.90380669	-0.425507983
TCGA.ED.A7XO.01A.11R.A352.07	4.902552349	-0.22720981
TCGA.RC.A7SB.01A.21R.A352.07	4.900866016	-0.332033815
TCGA.DD.A4NE.01A.11R.A27V.07	4.899591909	0.0474356
TCGA.DD.AAVV.01A.11R.A41C.07	4.899119582	-0.339400405
TCGA.2Y.A9GY.01A.11R.A38B.07	4.898472042	-0.070706067
TCGA.K7.A5RF.01A.11R.A28V.07	4.897538693	-0.349288067
TCGA.G3.A7M8.01A.11R.A33R.07	4.896803904	-0.346770307
TCGA.DD.A11B.01A.11R.A131.07	4.893037589	-0.227184792
TCGA.G3.AAV6.01A.21R.A37K.07	4.892260124	-0.138680385
TCGA.CC.A7IL.01A.11R.A33R.07	4.89104993	-0.147897014
TCGA.CC.5261.01A.01R.A131.07	4.888441648	0.027611979
TCGA.G3.A5SJ.01A.11R.A27V.07	4.885885058	-0.22558652
TCGA.BD.A3EP.01A.11R.A22L.07	4.881133254	-0.13639563
TCGA.DD.A11D.01A.11R.A131.07	4.879643405	-0.220356388
TCGA.DD.AAD2.01A.11R.A41C.07	4.873602277	-0.410078819
TCGA.DD.AAVP.01A.11R.A41C.07	4.873515597	-0.156795454
TCGA.G3.AAV3.01A.11R.A37K.07	4.87152141	-0.14113424
TCGA.DD.AACJ.01A.11R.A41C.07	4.868312239	-0.187007742
TCGA.WX.AA44.01A.11R.A39D.07	4.866185336	-0.122657041
TCGA.G3.A3CI.01A.11R.A213.07	4.863470308	-0.378902373
TCGA.BW.A5NQ.01A.11R.A27V.07	4.860235449	-0.027028934
TCGA.BC.A10Y.01A.11R.A131.07	4.860091969	-0.053261413
TCGA.UB.AA0U.01A.11R.A38B.07	4.859459194	-0.023774303
TCGA.DD.A1EH.01A.11R.A131.07	4.855302448	0.082307986
TCGA.DD.A1ED.01A.11R.A155.07	4.855142781	-0.314581066
TCGA.DD.A1EK.01A.11R.A213.07	4.851471357	-0.196147765
TCGA.FV.A23B.01A.11R.A16W.07	4.850301996	0.104626713
TCGA.DD.A3A6.01A.11R.A22L.07	4.848202594	-0.305727387
TCGA.KR.A7K2.01A.12R.A33R.07	4.847917148	-0.302469601
TCGA.G3.A5SM.01A.12R.A28V.07	4.847184896	-0.408103825
TCGA.ED.A5KG.01A.11R.A27V.07	4.846678775	0.028887521
TCGA.CC.A5UE.01A.11R.A28V.07	4.846324911	-0.150616042
TCGA.DD.A1EG.01A.11R.A213.07	4.844224164	-0.207950252
TCGA.G3.AAV5.01A.11R.A37K.07	4.843275724	-0.22683211
TCGA.DD.AACS.01A.11R.A41C.07	4.843229696	0.124023279
TCGA.KR.A7K7.01A.11R.A33J.07	4.837165091	-0.228339215
TCGA.ED.A627.01A.12R.A311.07	4.834499243	-0.309551999
TCGA.MI.A75E.01A.11R.A32O.07	4.825935994	-0.371357985
TCGA.FV.A3R2.01A.11R.A22L.07	4.825464267	-0.106195063
TCGA.DD.AAVW.01A.11R.A41C.07	4.822849628	-0.267204368
TCGA.MI.A75H.01A.11R.A32O.07	4.815729083	-0.173846718
TCGA.BC.A10R.01A.11R.A131.07	4.814704959	-0.20834991
TCGA.DD.A115.01A.11R.A131.07	4.813973292	-0.124677095
TCGA.DD.AADS.01A.11R.A41C.07	4.809426544	-0.403040724
TCGA.DD.A4NP.01A.11R.A28V.07	4.808339298	-0.292378138
TCGA.EP.A12J.01A.11R.A131.07	4.806885577	0.094680158
TCGA.2Y.A9H0.01A.11R.A38B.07	4.804794616	-0.041293262
TCGA.EP.A26S.01A.11R.A16W.07	4.802260853	-0.035033004
TCGA.BC.A10T.01A.11R.A131.07	4.801259516	-0.326467241
TCGA.DD.AACG.01A.11R.A41C.07	4.800897616	-0.190939478
TCGA.CC.A5UD.01A.11R.A28V.07	4.796448739	-0.006140812
TCGA.ED.A4XI.01A.11R.A266.07	4.795272887	-0.328496197
TCGA.UB.A7MA.01A.11R.A33R.07	4.791511353	-0.075125403
TCGA.DD.AADO.01A.11R.A41C.07	4.780062859	-0.346671009
TCGA.MI.A75I.01A.11R.A32O.07	4.778533653	-0.237153505
TCGA.ZS.A9CG.01A.11R.A37K.07	4.774678689	-0.275185965
TCGA.5C.AAPD.01A.21R.A39D.07	4.773612629	-0.218107555
TCGA.RC.A6M5.01A.11R.A32O.07	4.771706314	-0.417457743
TCGA.BC.A110.01A.11R.A131.07	4.759510524	-0.404412245
TCGA.DD.A116.01A.11R.A131.07	4.759252081	-0.241318185
TCGA.G3.A25X.01A.11R.A16W.07	4.758387283	-0.314692487
TCGA.CC.A7IG.01A.11R.A33J.07	4.744977806	-0.124304075
TCGA.RC.A7SH.01A.11R.A38B.07	4.742234919	-0.034342644
TCGA.DD.A73F.01A.11R.A32O.07	4.73211941	-0.150151308
TCGA.DD.A39X.01A.11R.A213.07	4.731575781	-0.38082746
TCGA.DD.AADM.01A.11R.A41C.07	4.728387673	-0.325715576
TCGA.G3.A25S.01A.11R.A16W.07	4.728236301	-0.175652353
TCGA.FV.A2QQ.01A.11R.A22L.07	4.727596688	-0.355187436
TCGA.DD.A3A5.01A.11R.A22L.07	4.717025765	-0.245964402
TCGA.DD.A73C.01A.12R.A33J.07	4.703377197	-0.172608532
TCGA.DD.AADA.01A.11R.A41C.07	4.695909457	-0.204555014
TCGA.CC.5260.01A.01R.A131.07	4.692051753	0.077546683
TCGA.DD.A1EJ.01A.11R.A155.07	4.684412994	0.001719508
TCGA.NI.A4U2.01A.11R.A28V.07	4.680165253	-0.410360245
TCGA.DD.A3A9.01A.11R.A266.07	4.677238613	-0.327899216
TCGA.CC.A123.01A.11R.A131.07	4.67004353	-0.164158079
TCGA.5R.AA1D.01A.11R.A38B.07	4.657364512	-0.368520521
TCGA.DD.A4NA.01A.11R.A266.07	4.647230672	0.015804492
TCGA.DD.AACE.01A.11R.A41C.07	4.646298904	0.013367159
TCGA.DD.A39Y.01A.11R.A213.07	4.645839016	-0.078851685
TCGA.DD.AADN.01A.11R.A41C.07	4.636409863	-0.161444207
TCGA.CC.5259.01A.31R.A213.07	4.630465636	-0.234848996
TCGA.DD.A4NB.01A.12R.A266.07	4.626830312	-0.381448064
TCGA.DD.A4NF.01A.11R.A27V.07	4.626091273	0.001063831
TCGA.O8.A75V.01A.11R.A32O.07	4.622651291	-0.354066084
TCGA.DD.A118.01A.11R.A131.07	4.614967978	-0.123131048
TCGA.XR.A8TG.01A.11R.A36F.07	4.591538767	0.074569021
