pathway	NOP2	HISTONE_METHYLATION
TCGA.XR.A8TG.01A.11R.A36F.07	4.591538767	0.079965835
TCGA.DD.AAEE.01A.11R.A41C.07	4.580812493	-0.163935436
TCGA.GJ.A6C0.01A.12R.A311.07	4.579211628	-0.186808226
TCGA.BC.A69H.01A.11R.A311.07	4.578111062	-0.119879858
TCGA.2Y.A9GW.01A.11R.A38B.07	4.567182381	-0.376555635
TCGA.DD.AACO.01A.11R.A41C.07	4.55197135	-0.266452909
TCGA.G3.A3CK.01A.11R.A213.07	4.550461117	-0.136900578
TCGA.ZP.A9CV.01A.11R.A38B.07	4.533653809	-0.164402552
TCGA.DD.A39W.01A.11R.A213.07	4.53047886	0.156817011
TCGA.T1.A6J8.01A.11R.A32O.07	4.530108853	-0.220959684
TCGA.2Y.A9H3.01A.11R.A38B.07	4.522106034	-0.340412447
TCGA.DD.AAE4.01A.11R.A41C.07	4.519208912	-0.37019134
TCGA.G3.A25T.01A.11R.A16W.07	4.517463851	-0.06188648
TCGA.DD.AAE3.01A.11R.A41C.07	4.516323479	-0.460155843
TCGA.WQ.AB4B.01A.11R.A41C.07	4.515949734	-0.346085577
TCGA.FV.A3R3.01A.11R.A22L.07	4.511568268	-0.333504916
TCGA.PD.A5DF.01A.11R.A27V.07	4.508927642	-0.29799403
TCGA.EP.A2KA.01A.11R.A180.07	4.503921158	-0.198844453
TCGA.G3.AAV0.01A.11R.A37K.07	4.500357919	-0.174677435
TCGA.BC.A10S.01A.22R.A131.07	4.498806284	-0.358105021
TCGA.DD.AACD.01A.11R.A41C.07	4.497724051	-0.339032754
TCGA.BW.A5NO.01A.11R.A27V.07	4.493598124	-0.181778784
TCGA.EP.A3RK.01A.11R.A22L.07	4.491500378	-0.230044386
TCGA.DD.AAC9.01A.11R.A41C.07	4.484716638	-0.428265052
TCGA.DD.AACB.01A.11R.A41C.07	4.471457226	-0.149539177
TCGA.2Y.A9H4.01A.11R.A38B.07	4.465343045	-0.286515882
TCGA.ES.A2HT.01A.12R.A180.07	4.460582155	-0.403923509
TCGA.DD.A73G.01A.22R.A32O.07	4.458514648	-0.258291472
TCGA.DD.AACC.01A.11R.A41C.07	4.451548226	-0.250912596
TCGA.G3.A5SI.01A.31R.A27V.07	4.450552221	0.010692058
TCGA.G3.A3CJ.01A.11R.A213.07	4.449162806	-0.261623923
TCGA.BC.A5W4.01A.11R.A28V.07	4.445592546	-0.058684885
TCGA.BC.A217.01A.11R.A155.07	4.438390594	-0.060726342
TCGA.BC.A69I.01A.11R.A311.07	4.432486122	-0.219676027
TCGA.DD.AACY.01A.11R.A41C.07	4.425747386	-0.059718162
TCGA.FV.A495.01A.11R.A266.07	4.417957117	-0.391860511
TCGA.FV.A2QR.01A.11R.A213.07	4.381295443	-0.151805999
TCGA.G3.A25Z.01A.11R.A16W.07	4.363987392	-0.262447494
TCGA.CC.5262.01A.01R.A131.07	4.029635573	-0.334694528
TCGA.2Y.A9H1.01A.11R.A38B.07	4.029635573	-0.319949886
TCGA.BD.A2L6.01A.11R.A213.07	4.029635573	-0.116561527
TCGA.DD.AAVU.01A.11R.A41C.07	4.029635573	-0.239833077
TCGA.DD.AADJ.01A.11R.A41C.07	4.029635573	-0.163542692
TCGA.G3.AAUZ.01A.11R.A38B.07	4.029635573	-0.257070672
TCGA.DD.AACI.01A.11R.A41C.07	4.029635573	-0.299085077
TCGA.DD.AAEB.01A.11R.A41C.07	4.029635573	-0.184809844
TCGA.DD.A39Z.01A.11R.A213.07	4.029635573	-0.176206374
TCGA.DD.A3A3.01A.11R.A22L.07	4.029635573	-0.341363384
TCGA.DD.A119.01A.11R.A131.07	4.029635573	-0.286673105
TCGA.ES.A2HS.01A.11R.A180.07	4.029635573	-0.297488979
TCGA.DD.A3A1.01A.11R.A213.07	4.029635573	-0.274407577
TCGA.DD.AADI.01A.11R.A41C.07	4.029635573	-0.068677723

