ID	Log2FoldChange	pvalue
taurochenodeoxycholate	-1.218325692	0.103435878
taurocholate	0.354614837	0.499882652
taurodeoxycholate	1.530157549	0.029321984
thiamin	-0.777592523	0.028316864
threitol	-1.521819082	0.087411604
threonate	-1.426229442	0.000281442
threonine	0.690542977	7.87675E-05
thymidine	2.162360832	1.32111E-05
thymine	2.811663747	5.50343E-05
tiglyl-carnitine	-0.0755164	0.847108872
trans-4-hydroxyproline	0.086938257	0.858834252
trigonelline	-1.037257392	0.105311369
tryptophan	0.874490767	5.40888E-05
tyrosine	1.465736156	5.05324E-08
UDP-galactose	0.258168847	0.657342867
UDP-glucuronate	2.953275026	0.000976632
uracil	-0.207421766	0.265916981
urea	-3.38343522	0.07706268
uridine	0.591900798	0.002851913
valerylglycine	-0.021803634	0.337049058
valine	0.537844595	0.000217488
xanthine	0.037624652	0.821430916
xanthosine	0.763037184	0.11233239
xylitol	-0.284718433	0.368087928
xylonate	-0.470499011	0.166153093
xylulose	1.333544914	0.000105472
